!Elan 37
2	35	1.33	43	1.58	45	1.62	50	1.72	55	1.8	60	1.87	65	1.91	70	1.94	75	1.98	80	1.97	85	1.97	90	1.96	95	1.95	100	1.94	105	1.94	110	1.93	115	1.89	120	1.85	125	1.78	130	1.71	135	1.64	140	1.55	143	1.5	175	1.11	180	1.09
4	35	2.65	43	3.16	45	3.24	50	3.44	55	3.61	60	3.75	65	3.82	70	3.88	75	3.95	80	3.94	85	3.94	90	3.93	95	3.91	100	3.89	105	3.87	110	3.85	115	3.78	120	3.71	125	3.57	130	3.43	135	3.29	140	3.1	143	2.99	175	2.22	180	2.17
6	35	3.98	43	4.74	45	4.86	50	5.16	55	5.41	60	5.62	65	5.72	70	5.83	75	5.93	80	5.92	85	5.9	90	5.89	95	5.86	100	5.84	105	5.81	110	5.78	115	5.67	120	5.56	125	5.35	130	5.14	135	4.93	140	4.66	143	4.49	175	3.32	180	3.26
8	35	4.78	43	5.7	45	5.85	50	6.23	55	6.47	60	6.63	65	6.7	70	6.78	75	6.85	80	6.88	85	6.92	90	6.95	95	6.94	100	6.94	105	6.93	110	6.92	115	6.82	120	6.72	125	6.53	130	6.33	135	6.14	140	5.83	148	5.35	175	4.22	180	4.1
10	35	5.6	41	6.29	45	6.56	50	6.87	55	7.08	60	7.24	65	7.3	70	7.36	75	7.42	80	7.48	85	7.55	90	7.61	95	7.62	100	7.63	105	7.63	110	7.64	115	7.56	120	7.49	125	7.34	130	7.18	135	7.03	140	6.79	152	6.2	175	5.22	180	5.04
12	35	6.05	39	6.52	45	6.96	50	7.25	55	7.46	60	7.63	65	7.7	70	7.76	75	7.83	80	7.84	85	7.85	90	7.86	95	7.94	100	8.02	105	8.09	110	8.17	115	8.09	120	8.02	125	7.88	130	7.75	135	7.61	140	7.42	162	6.53	175	5.9	180	5.69
14	35	6.31	38	6.7	45	7.14	50	7.43	55	7.65	60	7.82	65	7.94	70	8.05	75	8.17	80	8.16	85	8.16	90	8.15	95	8.27	100	8.38	105	8.5	110	8.62	115	8.55	120	8.48	125	8.34	130	8.21	135	8.07	140	7.9	168	7.01	175	6.8	180	6.62
16	35	6.57	37	6.81	45	7.32	50	7.56	55	7.77	60	7.94	65	8.08	70	8.22	75	8.36	80	8.39	85	8.41	90	8.44	95	8.54	100	8.65	105	8.75	110	8.86	115	8.9	120	8.95	125	8.8	130	8.65	135	8.5	140	8.33	172	7.43	175	7.33	180	7.15
18	35	6.61	37	6.83	45	7.35	50	7.61	55	7.83	60	8	65	8.15	70	8.3	75	8.45	80	8.53	85	8.62	90	8.7	95	8.79	100	8.88	105	8.96	110	9.05	115	9.16	120	9.28	125	9.18	130	9.07	135	8.97	140	8.78	172	7.84	175	7.76	180	7.59
20	35	6.64	39	6.96	45	7.39	50	7.67	55	7.89	60	8.06	65	8.22	70	8.37	75	8.53	80	8.67	85	8.81	90	8.95	95	9.02	100	9.1	105	9.18	110	9.25	115	9.43	120	9.61	125	9.55	130	9.5	135	9.44	140	9.23	174	8.22	175	8.18	180	8.03
22	35	6.64	39	6.96	45	7.39	50	7.67	55	7.89	60	8.06	65	8.22	70	8.37	75	8.53	80	8.67	85	8.81	90	8.95	95	9.02	100	9.1	105	9.18	110	9.25	115	9.43	120	9.61	125	9.55	130	9.5	135	9.44	140	9.23	174	8.22	175	8.18	180	8.03
24	35	6.64	39	6.96	45	7.39	50	7.67	55	7.89	60	8.06	65	8.22	70	8.37	75	8.53	80	8.67	85	8.81	90	8.95	95	9.02	100	9.1	105	9.18	110	9.25	115	9.43	120	9.61	125	9.55	130	9.5	135	9.44	140	9.23	174	8.22	175	8.18	180	8.03
26	35	6.64	39	6.96	45	7.39	50	7.67	55	7.89	60	8.06	65	8.22	70	8.37	75	8.53	80	8.67	85	8.81	90	8.95	95	9.02	100	9.1	105	9.18	110	9.25	115	9.43	120	9.61	125	9.55	130	9.5	135	9.44	140	9.23	174	8.22	175	8.18	180	8.03
28	35	6.64	39	6.96	45	7.39	50	7.67	55	7.89	60	8.06	65	8.22	70	8.37	75	8.53	80	8.67	85	8.81	90	8.95	95	9.02	100	9.1	105	9.18	110	9.25	115	9.43	120	9.61	125	9.55	130	9.5	135	9.44	140	9.23	174	8.22	175	8.18	180	8.03
30	35	6.64	39	6.96	45	7.39	50	7.67	55	7.89	60	8.06	65	8.22	70	8.37	75	8.53	80	8.67	85	8.81	90	8.95	95	9.02	100	9.1	105	9.18	110	9.25	115	9.43	120	9.61	125	9.55	130	9.5	135	9.44	140	9.23	174	8.22	175	8.18	180	8.03
