TWA\TWS	6	8	10	12	14	16	20
52	4.43	5.28	5.63	5.83	5.96	6.04	6.09
60	4.78	5.52	5.89	6.12	6.21	6.27	6.31
75	5.09	5.85	6.21	6.35	6.47	6.55	6.64
90	5.42	6.08	6.37	6.51	6.61	6.72	6.99
110	5.29	5.94	6.35	6.61	6.90	7.12	7.41
120	5.01	5.75	6.26	6.53	6.88	7.20	7.73
135	4.34	5.37	5.93	6.33	6.60	6.97	7.76
150	3.63	4.65	5.46	5.98	6.34	6.60	7.31
