!Expedition polar
2	0	0	51	3.67	53	3.83	60	4.28	70	4.69	75	4.79	80	4.78	90	4.66	110	4.23	120	3.2	135	2.30	138	2.25	180	1.08
6	0	0	47	5.42	52	5.87	60	6.35	70	6.65	75	6.73	80	6.76	90	6.69	110	6.48	120	6.09	135	5.14	142	4.70	180	3.24
8	0	0	44	6.30	52	6.97	60	7.38	70	7.64	75	7.70	80	7.72	90	7.74	110	7.60	120	7.29	135	6.52	144	5.92	180	4.31
10	0	0	42	6.76	52	7.56	60	7.92	70	8.19	75	8.26	80	8.30	90	8.37	110	8.29	120	8.06	135	7.48	150	6.56	180	5.31
12	0	0	40	7.06	52	7.90	60	8.22	70	8.51	75	8.62	80	8.70	90	8.73	110	8.81	120	8.63	135	8.15	157	7.04	180	6.28
14	0	0	39	7.24	52	8.12	60	8.43	70	8.72	80	8.96	90	9.06	110	9.25	120	9.14	135	8.69	150	8.06	165	7.46	180	7.08
16	0	0	38	7.37	52	8.26	60	8.57	70	8.88	80	9.14	90	9.34	110	9.60	120	9.60	135	9.19	150	8.58	170	7.91	180	7.74
20	0	0	38	7.50	52	8.41	60	8.73	70	9.07	80	9.38	90	9.66	110	10.03	120	10.35	135	10.16	150	9.53	174	8.81	180	8.73
30	0	0	37	7.63	52	8.56	60	8.88	70	9.26	80	9.63	90	9.98	110	10.68	120	11.10	135	11.13	150	10.47	177	9.72	180	9.70
